beep,pulseRate,pulseWaveform,bloodSpO2,time,
False,100,191,97,2018-06-12 12:27:16.473056,
False,100,189,97,2018-06-12 12:27:16.489667,
False,100,188,97,2018-06-12 12:27:16.506433,
False,100,187,97,2018-06-12 12:27:16.523073,
False,100,186,97,2018-06-12 12:27:16.539849,
False,100,185,97,2018-06-12 12:27:16.556366,
False,100,183,97,2018-06-12 12:27:16.573037,
False,100,181,97,2018-06-12 12:27:16.589653,
False,100,179,97,2018-06-12 12:27:16.606320,
False,100,176,97,2018-06-12 12:27:16.623029,
False,100,175,97,2018-06-12 12:27:16.639663,
False,100,173,97,2018-06-12 12:27:16.656348,
False,100,171,97,2018-06-12 12:27:16.673033,
False,100,169,97,2018-06-12 12:27:16.689656,
False,100,168,97,2018-06-12 12:27:16.706325,
False,100,168,97,2018-06-12 12:27:16.723018,
False,100,168,97,2018-06-12 12:27:16.739650,
False,100,169,97,2018-06-12 12:27:16.756332,
False,100,173,97,2018-06-12 12:27:16.773021,
False,100,179,97,2018-06-12 12:27:16.789658,
False,100,186,97,2018-06-12 12:27:16.806342,
False,100,193,97,2018-06-12 12:27:16.823002,
False,100,201,97,2018-06-12 12:27:16.839650,
False,100,206,97,2018-06-12 12:27:16.856334,
False,100,210,97,2018-06-12 12:27:16.872991,
False,100,213,97,2018-06-12 12:27:16.889652,
False,100,213,97,2018-06-12 12:27:16.906337,
False,100,212,97,2018-06-12 12:27:16.922988,
False,100,210,97,2018-06-12 12:27:16.939654,
False,100,208,97,2018-06-12 12:27:16.956326,
True,104,205,97,2018-06-12 12:27:16.972992,
True,104,202,97,2018-06-12 12:27:16.989674,
False,104,199,97,2018-06-12 12:27:17.006320,
False,104,195,97,2018-06-12 12:27:17.022976,
False,104,193,97,2018-06-12 12:27:17.039672,
False,104,191,97,2018-06-12 12:27:17.056359,
False,104,189,97,2018-06-12 12:27:17.073035,
False,104,188,97,2018-06-12 12:27:17.089665,
False,104,187,97,2018-06-12 12:27:17.106314,
False,104,186,97,2018-06-12 12:27:17.122993,
False,104,185,97,2018-06-12 12:27:17.139667,
False,104,184,97,2018-06-12 12:27:17.156330,
False,104,183,97,2018-06-12 12:27:17.172987,
False,104,181,97,2018-06-12 12:27:17.189723,
False,104,179,97,2018-06-12 12:27:17.206348,
False,104,177,97,2018-06-12 12:27:17.222985,
False,104,176,97,2018-06-12 12:27:17.239639,
False,104,174,97,2018-06-12 12:27:17.256342,
False,104,173,97,2018-06-12 12:27:17.272987,
False,104,171,97,2018-06-12 12:27:17.289645,
False,104,171,97,2018-06-12 12:27:17.306319,
False,104,170,97,2018-06-12 12:27:17.323027,
False,104,170,97,2018-06-12 12:27:17.339642,
False,104,171,97,2018-06-12 12:27:17.356325,
False,104,174,97,2018-06-12 12:27:17.372990,
False,104,179,97,2018-06-12 12:27:17.389647,
False,104,185,97,2018-06-12 12:27:17.406320,
False,104,192,97,2018-06-12 12:27:17.423003,
False,104,199,97,2018-06-12 12:27:17.439653,
False,104,206,97,2018-06-12 12:27:17.456384,
False,104,212,97,2018-06-12 12:27:17.473006,
False,104,216,97,2018-06-12 12:27:17.489667,
False,104,217,97,2018-06-12 12:27:17.506361,
False,104,218,97,2018-06-12 12:27:17.522991,
False,104,216,97,2018-06-12 12:27:17.539657,
False,104,213,97,2018-06-12 12:27:17.556348,
True,103,210,96,2018-06-12 12:27:17.573016,
True,103,206,96,2018-06-12 12:27:17.589670,
False,103,203,96,2018-06-12 12:27:17.606332,
False,103,200,96,2018-06-12 12:27:17.622980,
False,103,197,96,2018-06-12 12:27:17.639670,
False,103,195,96,2018-06-12 12:27:17.656339,
False,103,193,96,2018-06-12 12:27:17.673029,
False,103,192,96,2018-06-12 12:27:17.689654,
False,103,190,96,2018-06-12 12:27:17.706335,
False,103,188,96,2018-06-12 12:27:17.723019,
False,103,186,96,2018-06-12 12:27:17.739654,
False,103,184,96,2018-06-12 12:27:17.756306,
False,103,183,96,2018-06-12 12:27:17.772990,
False,103,181,96,2018-06-12 12:27:17.789669,
False,103,179,96,2018-06-12 12:27:17.806306,
False,103,177,96,2018-06-12 12:27:17.822981,
False,103,175,96,2018-06-12 12:27:17.839660,
False,103,173,96,2018-06-12 12:27:17.856310,
False,103,171,96,2018-06-12 12:27:17.872982,
False,103,169,96,2018-06-12 12:27:17.889632,
False,103,167,96,2018-06-12 12:27:17.906298,
False,103,165,96,2018-06-12 12:27:17.922979,
False,103,163,96,2018-06-12 12:27:17.939639,
False,103,162,96,2018-06-12 12:27:17.956314,
False,103,163,96,2018-06-12 12:27:17.972982,
False,103,166,96,2018-06-12 12:27:17.989638,
False,103,170,96,2018-06-12 12:27:18.006380,
False,103,178,96,2018-06-12 12:27:18.022995,
False,103,186,96,2018-06-12 12:27:18.039644,
False,103,195,96,2018-06-12 12:27:18.056338,
False,103,202,96,2018-06-12 12:27:18.073026,
False,103,208,96,2018-06-12 12:27:18.089638,
False,103,212,96,2018-06-12 12:27:18.106349,
False,103,214,96,2018-06-12 12:27:18.122987,
False,103,214,96,2018-06-12 12:27:18.139645,
False,103,213,96,2018-06-12 12:27:18.156311,
False,103,210,96,2018-06-12 12:27:18.172964,
True,101,207,97,2018-06-12 12:27:18.189640,
True,101,203,97,2018-06-12 12:27:18.206323,
False,101,200,97,2018-06-12 12:27:18.222963,
False,101,196,97,2018-06-12 12:27:18.239639,
False,101,194,97,2018-06-12 12:27:18.256295,
False,101,192,97,2018-06-12 12:27:18.272982,
False,101,190,97,2018-06-12 12:27:18.289652,
False,101,189,97,2018-06-12 12:27:18.306299,
False,101,188,97,2018-06-12 12:27:18.322964,
False,101,186,97,2018-06-12 12:27:18.339632,
False,101,185,97,2018-06-12 12:27:18.356294,
False,101,183,97,2018-06-12 12:27:18.372972,
False,101,181,97,2018-06-12 12:27:18.389667,
False,101,179,97,2018-06-12 12:27:18.406298,
False,101,177,97,2018-06-12 12:27:18.422984,
False,101,176,97,2018-06-12 12:27:18.439663,
False,101,174,97,2018-06-12 12:27:18.456338,
False,101,173,97,2018-06-12 12:27:18.472998,
False,101,171,97,2018-06-12 12:27:18.489639,
False,101,169,97,2018-06-12 12:27:18.506314,
False,101,168,97,2018-06-12 12:27:18.522964,
False,101,167,97,2018-06-12 12:27:18.539614,
False,101,165,97,2018-06-12 12:27:18.556300,
False,101,165,97,2018-06-12 12:27:18.572979,
False,101,165,97,2018-06-12 12:27:18.589632,
False,101,167,97,2018-06-12 12:27:18.606294,
False,101,170,97,2018-06-12 12:27:18.622980,
False,101,175,97,2018-06-12 12:27:18.639663,
False,101,184,97,2018-06-12 12:27:18.656340,
False,101,191,97,2018-06-12 12:27:18.673060,
False,101,198,97,2018-06-12 12:27:18.689627,
False,101,203,97,2018-06-12 12:27:18.706313,
False,101,207,97,2018-06-12 12:27:18.722962,
False,101,210,97,2018-06-12 12:27:18.739629,
False,101,211,97,2018-06-12 12:27:18.756304,
False,101,210,97,2018-06-12 12:27:18.773006,
False,101,209,97,2018-06-12 12:27:18.789630,
False,101,208,97,2018-06-12 12:27:18.806301,
False,101,206,97,2018-06-12 12:27:18.822952,
True,100,203,97,2018-06-12 12:27:18.839641,
True,100,201,97,2018-06-12 12:27:18.856308,
False,100,200,97,2018-06-12 12:27:18.872957,
False,100,198,97,2018-06-12 12:27:18.889633,
False,100,198,97,2018-06-12 12:27:18.906274,
False,100,197,97,2018-06-12 12:27:18.922954,
False,100,197,97,2018-06-12 12:27:18.939640,
False,100,196,97,2018-06-12 12:27:18.956284,
False,100,194,97,2018-06-12 12:27:18.972953,
False,100,193,97,2018-06-12 12:27:18.989627,
False,100,191,97,2018-06-12 12:27:19.006299,
False,100,189,97,2018-06-12 12:27:19.022970,
False,100,186,97,2018-06-12 12:27:19.039623,
False,100,184,97,2018-06-12 12:27:19.056325,
False,100,182,97,2018-06-12 12:27:19.072953,
False,100,180,97,2018-06-12 12:27:19.089631,
False,100,178,97,2018-06-12 12:27:19.106286,
False,100,177,97,2018-06-12 12:27:19.122966,
False,100,175,97,2018-06-12 12:27:19.139616,
False,100,173,97,2018-06-12 12:27:19.156287,
False,100,172,97,2018-06-12 12:27:19.172959,
False,100,171,97,2018-06-12 12:27:19.189627,
False,100,171,97,2018-06-12 12:27:19.206340,
False,100,172,97,2018-06-12 12:27:19.222978,
False,100,175,97,2018-06-12 12:27:19.239613,
False,100,179,97,2018-06-12 12:27:19.256347,
False,100,186,97,2018-06-12 12:27:19.272987,
False,100,193,97,2018-06-12 12:27:19.289629,
False,100,200,97,2018-06-12 12:27:19.306344,
False,100,206,97,2018-06-12 12:27:19.322939,
False,100,210,97,2018-06-12 12:27:19.339608,
False,100,213,97,2018-06-12 12:27:19.356292,
False,100,213,97,2018-06-12 12:27:19.372950,
False,100,213,97,2018-06-12 12:27:19.389616,
False,100,211,97,2018-06-12 12:27:19.406291,
True,100,208,97,2018-06-12 12:27:19.422981,
True,100,204,97,2018-06-12 12:27:19.439630,
False,100,200,97,2018-06-12 12:27:19.456321,
False,100,196,97,2018-06-12 12:27:19.472947,
False,100,193,97,2018-06-12 12:27:19.489620,
False,100,190,97,2018-06-12 12:27:19.506320,
False,100,189,97,2018-06-12 12:27:19.522948,
False,100,189,97,2018-06-12 12:27:19.539633,
